Question,Answer
"What tech stack are you using, or planning to use?","Unity (C#) on Quest 3. Python for sensor processing: muselsl, pylsl, Lab Streaming Layer, websockets to Unity.

Roadmap: Apple Watch HRV via HealthKit, Quest 3 eye-tracking API, Photon Fusion for shared rooms.

AI: Claude Code."
"Are people using your product?","No. Prototype. First user test Saturday. Video attached as demo."
"Do you have revenue?","Not from Blind Spot. Anders' adjacent product, thepsychology.ai, makes $300/mo teaching postdocs to pass the EPPP licensure exam. 4 have passed.

Same brand runs an intake automation, scheduling, insurance verification, and payroll pipeline for Inzinna Therapy Group. Paid contract. Proves we can build, sell, and retain."
"Why did you pick this idea to work on? Do you have domain expertise in this area? How do you know people need what you're making?","We're both clinicians who see the gap every day.

Anders has treated thousands of patients with anxiety, PTSD, and chronic pain. Before clinical training, three years of eye-gaze tracking neuropsychology research validating eye tracking for accommodative interventions. The eye-tracking thesis isn't a bet. It's a return.

Shaunak is an ophthalmologist (Harvard MD, Mass Eye and Ear cornea/refractive fellowship). Six years co-founding and running the MedVR Symposium for VR/AR in Healthcare. He didn't wait for VR to come to ophthalmology. He's been building that field.

The clinical limitation is obvious to both of us. VR exposure has no idea if the patient is actually anxious. Biofeedback creates no immersive context. The two have to be one system. Consumer EEG and AI coding tools finally made it buildable by clinicians.

Evidence base: 122 RCTs for VR chronic pain. 30 RCTs for VR anxiety. 86 percent accuracy detecting depression from gaze in a single session. 66-83 percent PTSD remission with VR exposure. Nobody integrates the biofeedback loop into session content.

We know people need this because we've been the clinicians wishing it existed."
"Who are your competitors? What do you understand about your business that they don't?","Mental health VR. AppliedVR (RelieVRx) is the only FDA-cleared VR therapeutic. Pain only. Open-loop. No biofeedback adapting content. No eye tracking. Floreo: autism, no biofeedback. Amelia Virtual Care: exposure therapy, no physiology. Limbix shut down.

Digital mental health (YC). Meru Health (S18) ships HRV biofeedback with remote therapists, but on a phone. Single signal. Fixed program content. No exposure. Intellect (S21) is workforce mental health benefits, app + telehealth, no physiological data, no VR. Both are wellness plays outside FDA.

Vision therapy VR. Vivid Vision, NovaSight (CureSight), Luminopia. All vision (amblyopia, strabismus). None mental health.

Biofeedback devices. Muse meditation app. HeartMath HRV training. No immersion.

What they miss. Meru proved YC funds biofeedback + therapy. Intellect proved YC funds digital mental health at scale. We're the VR-native, multi-sensor (EEG + HRV + eye gaze), closed-loop version, with an FDA pathway they don't have. Mental health VR has no eye doctors. Vision VR has no psychologists. Biofeedback has no VR. The therapy drives the tech, not the other way around. EaseVRx is our precedent, not our competitor."
"How do or will you make money? How much could you make?","Phase 1: D2C wellness subscription. $25/mo. Anxiety and performance. 43M Americans have social anxiety, most untreated. 0.1 percent capture is $12.9M ARR.

Phase 2: B2B SaaS. $200-400 per clinician seat per month. $5-15 per user per month for enterprise. 50K+ licensed psychologists in the US. Corporate wellness $60B+.

Phase 3: FDA De Novo for chronic pain. CPT codes already exist for biofeedback and VR-assisted exposure. Chronic pain is 50M patients, $635B/yr. Payers want opioid alternatives.

Phase 4: VR surgical simulation. Eyesi costs $100K+ per program. We ship the same training value at a fraction, leveraging Shaunak's domain.

5-year target: $20-50M ARR. Higher with FDA clearance and reimbursement."
"Which category best applies to your company?","Consumer Health and Wellness initially. Healthcare / Digital Health post-FDA."
"Other ideas considered","1. VR for surgical training only. Narrower market. Kept as a future module.
2. AI therapy chatbot with voice. Skipped: regulatory complexity, crowded market (Woebot, Wysa). VR + biofeedback is a fundamentally different modality.
3. VR vision therapy (amblyopia, strabismus). Proven market but we chose the harder bridge between vision and mental health."
"Have you formed any legal entity yet?","No."
"Have you taken any investment yet?","No."
"Are you currently fundraising?","No."
"What convinced you to apply to Y Combinator?","A YC event in Boston two weeks ago. Accepted founders said 50 percent got in pre-product on the strength of team and idea. Anders texted Shaunak that night. A week later, working prototype.

A psychologist with eye-tracking research and an ophthalmologist who has been organizing healthcare VR/AR for six years is the kind of domain-expert founding team YC backs in healthcare. Meru Health (S18) and Intellect (S21) show the pattern. We're clinicians who see the gap daily, not technologists looking for a healthcare application."
"How did you hear about Y Combinator?","YC event in Boston, YC podcast, and general awareness in the startup community."
"Batch preference","Summer 2026."
"Founder video (1 minute)","See pitch-updated-easevrx-framing.md. Currently pain-first, needs update for hybrid framing (anxiety Phase 1 wedge, pain Phase 2 FDA unlock). Visual hook: Saturday's orb demo with Tamilyn."
"Demo video (3 min max, optional)","0:00-0:30 Problem: VR therapy is one-way. No feedback.
0:30-1:30 Live demo: Quest 3 + Muse S, orb responding, HR dropping with paced breathing.
1:30-2:15 Use case: VR job interview, HR spike triggers breathing cue, system tracks recovery time across sessions.
2:15-2:45 Eye tracking + safety: Shaunak walks gaze metrics and screening protocol.
2:45-3:00 Roadmap: anxiety, then pain (EaseVRx path), then PTSD, autism, depression, surgical training."
